Parameters:TParameters:TimeZone=America/New_York;LoyaltyRate=0.5;TransactionUploadRate=1.0,,,,,,,,,,,,,,,
Email,Email,Email,First Name,Last Name,City,State,Zip,Country,Phone Number,Phone Number,Phone Number,Conversion Name,Conversion Time,Conversion Value,Conversion Currency
currc@gmail.com,vocbx@gmail.com,,syivf,wdurf,lima,,,PE,+51237542658,+51734722341,,SSD_test1,08/14/2012 17:01:54,3819,USD
xabcx@gmail.com,,,lztgy,peisd,arequipa,,,PE,+51134615529,,,SSD_test1,08/14/2012 17:01:54,1437,USD
cbmbb@gmail.com,,,qhfsc,pawcc,cuzco,,,PE,+51912424479,,,SSD_test1,08/14/2012 17:01:54,3097,USD
rftbj@gmail.com,,,azywt,zivok,piura,,,PE,+51569629658,,,SSD_test1,08/14/2012 17:01:54,2257,USD
vqvvk@gmail.com,,,pmgam,agmjo,lima,,,PE,+51561242624,,,SSD_test1,08/14/2012 17:01:54,3262,USD
spigo@gmail.com,,,pxqsu,tblcp,lima,,,PE,+51811823481,,,SSD_test1,08/14/2012 17:01:54,3608,USD
jlqwb@gmail.com,,,wglap,tgwdv,lima,,,PE,+51312911935,,,SSD_test1,08/14/2012 17:01:54,1634,USD
ojrlg@gmail.com,,,jvbow,fmkow,lima,,,PE,+51193656895,,,SSD_test1,08/14/2012 17:01:54,1051,USD
anfzr@gmail.com,,,njbxy,elpjd,lima,,,PE,+51555733278,,,SSD_test1,08/14/2012 17:01:54,4567,USD
facbc@gmail.com,,,pfexh,qupdc,lima,,,PE,+51416556534,,,SSD_test1,08/14/2012 17:01:54,3634,USD
ttcrr@gmail.com,,,ajbyt,xgyjt,lima,,,PE,+51651566851,,,SSD_test1,08/14/2012 17:01:54,518,USD
ulvry@gmail.com,,,mgqhu,zeedh,lima,,,PE,+51642654429,,,SSD_test1,08/14/2012 17:01:54,3941,USD
jizpl@gmail.com,,,lijny,kgynh,lima,,,PE,+51667153119,,,SSD_test1,08/14/2012 17:01:54,4828,USD
sfnwo@gmail.com,,,tfaer,xwgey,lima,,,PE,+51143337398,,,SSD_test1,08/14/2012 17:01:54,3803,USD
kylkl@gmail.com,,,susvz,onehj,lima,,,PE,+51778377452,,,SSD_test1,08/14/2012 17:01:54,1212,USD
hzzmb@gmail.com,,,nlbeu,ovmzz,lima,,,PE,+51163947654,,,SSD_test1,08/14/2012 17:01:54,2077,USD
vvpan@gmail.com,,,bxwap,dyqmq,lima,,,PE,+51855424496,,,SSD_test1,08/14/2012 17:01:54,724,USD
hiddu@gmail.com,,,cqkbc,uzvxg,lima,,,PE,+51758671455,,,SSD_test1,08/14/2012 17:01:54,4572,USD
zkzhu@gmail.com,,,jqrvk,jdbha,lima,,,PE,+51541148649,,,SSD_test1,08/14/2012 17:01:54,3391,USD
sivhb@gmail.com,,,vckgj,aozvl,lima,,,PE,+51164464975,,,SSD_test1,08/14/2012 17:01:54,1478,USD
strjv@gmail.com,,,hxkye,rzxvv,lima,,,PE,+51284468722,,,SSD_test1,08/14/2012 17:01:54,4383,USD
